TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
175.955,38.183,14.247,0,1.75251e+15
275.924,60.044,32.281,1.492,1.75251e+15
219.166,65.054,31.279,0,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
184.861,1.66931e+16,0,0,1.7536e+15
172.096,1.66931e+16,0,0,1.7536e+15
210.67,1.66931e+16,0,0,1.7536e+15
179.1,1.66931e+16,0,0,1.7536e+15
122.052,1.66931e+16,0,0,1.7536e+15
121.34,1.66931e+16,0,0,1.7536e+15
131.139,1.66931e+16,0,0,1.7536e+15
171.776,1.66931e+16,0,0,1.7536e+15
129.416,1.66931e+16,0,0,1.7536e+15
191.474,1.66931e+16,0,0,1.7536e+15
161.046,1.66931e+16,0,0,1.7536e+15
236.168,1.66931e+16,0,0,1.7536e+15
141.419,1.66931e+16,0,0,1.7536e+15
146.237,1.66931e+16,0,0,1.7536e+15
